"gender","current_rank","player_id","player_name","country","sheet_base_points","point_rows","active_rows","expired_rows","singles_rows","doubles_rows","counting_singles","counting_doubles","missing_drop_date_rows","bad_ranking_point_rows","status","notes","points_breakdown_url"
"Boys","1","ivan-ivanov","Ivan Ivanov","BUL","2686.25","7","5","2","4","1","4","1","0","0","Revisar planilha","Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/ivan-ivanov/800586822/bul/jt/s/itf-points-breakdown/"
"Boys","2","luis-guto-miguel","Luis Guto Miguel","BRA","2420.5","21","19","2","10","9","6","6","0","0","OK","","https://www.itftennis.com/en/players/luis-guto-miguel/800680259/bra/jt/s/itf-points-breakdown/"
"Boys","3","yannick-theodor-alexandrescou","Yannick Theodor Alexandrescou","FRA","2377.25","27","25","2","13","12","6","6","0","0","OK","","https://www.itftennis.com/en/players/yannick-theodor-alexandrescou/800564683/fra/jt/s/itf-points-breakdown/"
"Boys","4","ziga-sesko","Ziga Sesko","SLO","2149.75","28","26","2","13","13","6","6","0","0","OK","","https://www.itftennis.com/en/players/ziga-sesko/800579895/slo/jt/s/itf-points-breakdown/"
"Boys","5","jamie-mackenzie","Jamie Mackenzie","GER","2007","29","27","2","14","13","6","6","0","0","OK","","https://www.itftennis.com/en/players/jamie-mackenzie/800570117/ger/jt/s/itf-points-breakdown/"
"Boys","6","keaton-hance","Keaton Hance","USA","1985.25","20","18","2","9","9","6","6","0","0","OK","","https://www.itftennis.com/en/players/keaton-hance/800657117/usa/jt/s/itf-points-breakdown/"
"Boys","7","jack-kennedy","Jack Kennedy","USA","1651","11","9","2","5","4","5","4","0","0","Revisar planilha","Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/jack-kennedy/800692786/usa/jt/s/itf-points-breakdown/"
"Boys","8","zangar-nurlanuly","Zangar Nurlanuly","KAZ","1842.5","18","18","0","11","7","6","6","0","0","OK","","https://www.itftennis.com/en/players/zangar-nurlanuly/800543488/kaz/jt/s/itf-points-breakdown/"
"Boys","9","thilo-behrmann","Thilo Behrmann","AUT","1764.75","30","28","2","16","12","6","6","0","0","OK","","https://www.itftennis.com/en/players/thilo-behrmann/800589798/aut/jt/s/itf-points-breakdown/"
"Boys","10","ryo-tabata","Ryo Tabata","JPN","1692.25","22","20","2","11","9","6","6","0","0","OK","","https://www.itftennis.com/en/players/ryo-tabata/800583844/jpn/jt/s/itf-points-breakdown/"
"Boys","11","dimitar-kisimov","Dimitar Kisimov","BUL","1696.75","36","34","2","18","16","6","6","0","0","OK","","https://www.itftennis.com/en/players/dimitar-kisimov/800571859/bul/jt/s/itf-points-breakdown/"
"Boys","12","andrew-johnson","Andrew Johnson","USA","1632.5","19","19","0","10","9","6","6","0","0","OK","","https://www.itftennis.com/en/players/andrew-johnson/800717286/usa/jt/s/itf-points-breakdown/"
"Boys","13","niels-mcdonald","Niels Mcdonald","GER","0","0","0","0","0","0","0","0","0","0","Revisar perfil ITF","Resolver URL do perfil ITF antes de buscar o breakdown. Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.",""
"Boys","14","michael-antonius","Michael Antonius","USA","1558.75","17","17","0","9","8","6","6","0","0","OK","","https://www.itftennis.com/en/players/michael-antonius/800732018/usa/jt/s/itf-points-breakdown/"
"Boys","15","yannik-alvarez","Yannik Alvarez","PUR","1553.5","33","31","2","16","15","6","6","0","0","OK","","https://www.itftennis.com/en/players/yannik-alvarez/800696168/pur/jt/s/itf-points-breakdown/"
"Boys","16","dante-pagani","Dante Pagani","ARG","1463","22","20","2","10","10","6","6","0","0","OK","","https://www.itftennis.com/en/players/dante-pagani/800658369/arg/jt/s/itf-points-breakdown/"
"Boys","17","kuan-shou-chen","Kuan-Shou Chen","TPE","1435.75","34","32","2","16","16","6","6","0","0","OK","","https://www.itftennis.com/en/players/kuan-shou-chen/800692766/tpe/jt/s/itf-points-breakdown/"
"Boys","18","nikita-belozertsev","Nikita Belozertsev","UZB","1309.75","18","16","2","8","8","6","6","0","0","OK","","https://www.itftennis.com/en/players/nikita-belozertsev/800590346/uzb/jt/s/itf-points-breakdown/"
"Boys","19","nicolas-baena","Nicolas Baena","PER","1380.5","29","29","0","15","14","6","6","0","0","OK","","https://www.itftennis.com/en/players/nicolas-baena/800600773/per/jt/s/itf-points-breakdown/"
"Boys","20","tito-chavez","Tito Chavez","ESP","1374","37","36","1","19","17","6","6","0","0","OK","","https://www.itftennis.com/en/players/tito-chavez/800590474/esp/jt/s/itf-points-breakdown/"
"Boys","21","mathys-domenc","Mathys Domenc","FRA","1346","21","21","0","11","10","6","6","0","0","OK","","https://www.itftennis.com/en/players/mathys-domenc/800597355/fra/jt/s/itf-points-breakdown/"
"Boys","22","flynn-thomas","Flynn Thomas","SUI","1318.5","29","27","2","14","13","6","6","0","0","OK","","https://www.itftennis.com/en/players/flynn-thomas/800571129/sui/jt/s/itf-points-breakdown/"
"Boys","23","thijs-boogaard","Thijs Boogaard","NED","0","0","0","0","0","0","0","0","0","0","Revisar perfil ITF","Resolver URL do perfil ITF antes de buscar o breakdown. Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.",""
"Boys","24","simone-massellani","Simone Massellani","ITA","1258.75","27","27","0","14","13","6","6","0","0","OK","","https://www.itftennis.com/en/players/simone-massellani/800668600/ita/jt/s/itf-points-breakdown/"
"Boys","25","arnav-paparkar","Arnav Paparkar","IND","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/arnav-paparkar/800573038/ind/jt/s/itf-points-breakdown/"
"Boys","26","hyu-kawanishi","Hyu Kawanishi","JPN","1226","32","32","0","16","16","6","6","0","0","OK","","https://www.itftennis.com/en/players/hyu-kawanishi/800700658/jpn/jt/s/itf-points-breakdown/"
"Boys","27","raffaele-ciurnelli","Raffaele Ciurnelli","ITA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/raffaele-ciurnelli/800589799/ita/jt/s/itf-points-breakdown/"
"Boys","28","kai-thompson","Kai Thompson","HKG","1193.5","36","36","0","20","16","6","6","0","0","OK","","https://www.itftennis.com/en/players/kai-thompson/800591436/hkg/jt/s/itf-points-breakdown/"
"Boys","29","matteo-gribaldo","Matteo Gribaldo","ITA","1188.75","36","34","2","17","17","6","6","0","0","OK","","https://www.itftennis.com/en/players/matteo-gribaldo/800705107/ita/jt/s/itf-points-breakdown/"
"Boys","30","damir-zhalgasbay","Damir Zhalgasbay","KAZ","1175.5","35","33","2","17","16","6","6","0","0","OK","","https://www.itftennis.com/en/players/damir-zhalgasbay/800559166/kaz/jt/s/itf-points-breakdown/"
"Boys","31","ryan-cozad","Ryan Cozad","USA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/ryan-cozad/800721316/usa/jt/s/itf-points-breakdown/"
"Boys","32","daniel-jovanovski","Daniel Jovanovski","AUS","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/daniel-jovanovski/800712851/aus/jt/s/itf-points-breakdown/"
"Boys","33","savva-rybkin","Savva Rybkin","RUS","1155.5","32","30","2","15","15","6","6","0","0","OK","","https://www.itftennis.com/en/players/savva-rybkin/800590813/rus/jt/s/itf-points-breakdown/"
"Boys","34","matei-todoran","Matei Todoran","ROU","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/matei-todoran/800565895/rou/jt/s/itf-points-breakdown/"
"Boys","35","mark-ceban","Mark Ceban","GBR","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/mark-ceban/800646827/gbr/jt/s/itf-points-breakdown/"
"Boys","36","emilio-camacho","Emilio Camacho","ECU","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/emilio-camacho/800654359/ecu/jt/s/itf-points-breakdown/"
"Boys","37","valentin-gonzalez-galino","Valentin Gonzalez-Galino","ESP","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/valentin-gonzalez-galino/800594039/esp/jt/s/itf-points-breakdown/"
"Boys","38","daniel-jade","Daniel Jade","FRA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/daniel-jade/800681412/fra/jt/s/itf-points-breakdown/"
"Boys","39","kanta-watanabe","Kanta Watanabe","JPN","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/kanta-watanabe/800686514/jpn/jt/s/itf-points-breakdown/"
"Boys","40","vincent-reisach","Vincent Reisach","GER","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/vincent-reisach/800635903/ger/jt/s/itf-points-breakdown/"
"Boys","41","jakub-kusy","Jakub Kusy","CZE","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/jakub-kusy/800597132/cze/jt/s/itf-points-breakdown/"
"Boys","42","pedro-henrique-chabalgoity","Pedro Henrique Chabalgoity","BRA","0","0","0","0","0","0","0","0","0","0","Revisar planilha","Adicionar o breakdown completo na planilha mestre. Menos de 6 resultados de simples na planilha. Menos de 6 resultados de duplas na planilha.","https://www.itftennis.com/en/players/pedro-henrique-chabalgoity/800650301/bra/jt/s/itf-points-breakdown/"
