"player_id","player_name","match_type","event","grade","start_date","end_date","status","current_round","points_override","source_url","notes"
"aleksandar-mitev","Aleksandar Mitev","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: partida pendente."
"aleksandar-mitev","Aleksandar Mitev","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"alexey-shibaev","Alexey Shibaev","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"alexia-enache","alexia enache","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: partida pendente."
"alexia-enache","alexia enache","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Eliminado","Q1","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: derrota encontrada."
"alexia-mihaela-man","Alexia Mihaela Man","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Eliminado","Q1","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (Q); leitura do draw: ITF API: derrota encontrada."
"ali-missoum","Ali Missoum","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"ana-chindris","Ana Chindris","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","QF","0","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: bye encontrado; atleta avancou sem pontuar."
"ana-chindris","Ana Chindris","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"ana-ioana-varsa","Ana Ioana Varsa","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","QF","0","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: bye encontrado; atleta avancou sem pontuar."
"ana-ioana-varsa","Ana Ioana Varsa","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"ana-maria-popa-lazar","Ana Maria Popa Lazar","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: partida pendente."
"ana-maria-popa-lazar","Ana Maria Popa Lazar","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"ana-maria-viciu","ANA MARIA VICIU","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Eliminado","Q2","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (Q); leitura do draw: ITF API: derrota encontrada."
"andrei-radu","Andrei Radu","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R16","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: partida pendente."
"andrei-radu","Andrei Radu","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"andreya-glushkova","Andreya Glushkova","Doubles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","QF","0","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF; leitura do draw de duplas: ITF API: bye encontrado; atleta avancou sem pontuar."
"andreya-glushkova","Andreya Glushkova","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Ativo","R32","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (MD); leitura do draw: ITF API: partida pendente."
"anisia-ghica","Anisia Ghica","Singles","J100 Bucharest","J100","2026-05-25","2026-05-30","Eliminado","Q1","","https://www.itftennis.com/en/tournament/j100-bucharest/rou/2026/j-j100-rou-2026-001/draws-and-results/","Encontrado na ITF (Q); leitura do draw: ITF API: derrota encontrada."
